step,last_spot,pl,replaned,packages_delivered
0,2,"[4, 6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
1,2,"[4, 6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
2,2,"[4, 6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
3,2,"[4, 6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
4,2,"[4, 6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
5,2,"[4, 6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
6,2,"[4, 6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
7,2,"[6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
8,2,"[6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
9,2,"[6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
10,2,"[6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
11,2,"[6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
12,2,"[6, 1, 1, 1, 6, 5, 1, 5, 2]",0,0
13,1,"[6, 1, 1, 1, 6, 5, 1, 5, 2]",0,1
14,1,"[6, 1, 1, 1, 6, 5, 1, 5, 2]",0,1
15,1,"[1, 1, 1, 6, 5, 1, 5, 2]",0,1
16,1,"[1, 1, 1, 6, 5, 1, 5, 2]",0,1
17,1,"[1, 1, 1, 6, 5, 1, 5, 2]",0,1
18,1,"[1, 1, 1, 6, 5, 1, 5, 2]",0,1
19,1,"[1, 1, 1, 6, 5, 1, 5, 2]",0,1
20,1,"[1, 1, 1, 6, 5, 1, 5, 2]",0,1
21,2,"[1, 1, 1, 6, 5, 1, 5, 2]",0,2
22,2,"[1, 1, 1, 6, 5, 1, 5, 2]",0,2
23,2,"[1, 1, 6, 5, 1, 5, 2]",0,2
24,2,"[1, 1, 6, 5, 1, 5, 2]",0,2
25,2,"[1, 1, 6, 5, 1, 5, 2]",0,2
26,2,"[1, 1, 6, 5, 1, 5, 2]",0,2
27,2,"[1, 1, 6, 5, 1, 5, 2]",0,2
28,2,"[1, 1, 6, 5, 1, 5, 2]",0,2
29,2,"[1, 1, 6, 5, 1, 5, 2]",0,2
30,2,"[1, 1, 6, 5, 1, 5, 2]",0,2
31,2,"[1, 6, 5, 1, 5, 2]",0,2
32,2,"[1, 6, 5, 1, 5, 2]",0,2
33,1,"[1, 6, 5, 1, 5, 2]",0,3
34,1,"[1, 6, 5, 1, 5, 2]",0,3
35,1,"[1, 6, 5, 1, 5, 2]",0,3
36,1,"[1, 6, 5, 1, 5, 2]",0,3
37,2,"[1, 6, 5, 1, 5, 2]",0,4
38,2,"[1, 6, 5, 1, 5, 2]",0,4
39,2,"[1, 6, 5, 1, 5, 2]",0,4
40,2,"[1, 6, 5, 1, 5, 2]",0,4
41,2,"[1, 6, 5, 1, 5, 2]",0,4
42,2,"[1, 6, 5, 1, 5, 2]",0,4
43,2,"[1, 6, 5, 1, 5, 2]",0,4
44,2,"[1, 6, 5, 1, 5, 2]",0,4
45,2,"[1, 6, 5, 1, 5, 2]",0,4
46,2,"[1, 6, 5, 1, 5, 2]",0,4
47,2,"[6, 5, 1, 5, 2]",0,4
48,2,"[6, 5, 1, 5, 2]",0,4
49,2,"[6, 5, 1, 5, 2]",0,4
50,2,"[6, 5, 1, 5, 2]",0,4
51,2,"[6, 5, 1, 5, 2]",0,4
52,2,"[6, 5, 1, 5, 2]",0,4
53,2,"[6, 5, 1, 5, 2]",0,4
54,2,"[6, 5, 1, 5, 2]",0,4
55,2,"[5, 1, 5, 2]",0,4
56,2,"[5, 1, 5, 2]",0,4
57,1,"[5, 1, 5, 2]",0,5
58,1,"[5, 1, 5, 2]",0,5
59,1,"[5, 1, 5, 2]",0,5
60,1,"[5, 1, 5, 2]",0,5
61,2,"[5, 1, 5, 2]",0,6
62,2,"[5, 1, 5, 2]",0,6
63,2,"[5, 1, 5, 2]",0,6
64,2,"[5, 1, 5, 2]",0,6
65,2,"[5, 1, 5, 2]",0,6
66,2,"[5, 1, 5, 2]",0,6
67,2,"[5, 1, 5, 2]",0,6
68,2,"[5, 1, 5, 2]",0,6
69,2,"[5, 1, 5, 2]",0,6
70,2,"[5, 1, 5, 2]",0,6
71,2,"[5, 2]",0,6
72,2,"[5, 2]",0,6
73,2,"[5, 2]",0,6
74,2,"[5, 2]",0,6
75,2,"[5, 2]",0,6
76,2,"[5, 2]",0,6
77,1,"[5, 2]",0,7
78,1,"[5, 2]",0,7
79,2,"[5, 2]",0,8
80,2,"[5, 2]",0,8
81,2,"[5, 2]",0,8
82,2,"[5, 2]",0,8
83,2,"[5, 2]",0,8
84,2,"[5, 2]",0,8
85,2,"[5, 2]",0,8
86,2,"[5, 2]",0,8
87,2,"[5, 2]",0,8
88,2,"[5, 2]",0,8
89,2,"[5, 2]",0,8
90,2,"[5, 2]",0,8
91,2,Int64[],0,8
92,2,Int64[],0,8
93,2,Int64[],0,8
94,2,Int64[],0,8
95,2,Int64[],0,8
96,2,Int64[],0,8
97,2,Int64[],0,8
98,2,Int64[],0,8
99,1,Int64[],0,9
100,1,Int64[],0,9
101,1,Int64[],0,9
102,1,Int64[],0,9
103,2,Int64[],0,10
